date,open,high,low,close,volume,symbol,ema_fast,ema_slow,rsi_14,vwap
2025-11-10,2609.727196317294,2662.64461112369,2607.0314522395747,2646.27001953125,1706880,ASIANPAINT.NS,2646.27001953125,2646.27001953125,0.0,2646.27001953125
2025-11-11,2646.269873630328,2660.747278769722,2629.2963641565566,2653.059326171875,776404,ASIANPAINT.NS,2648.533121744792,2647.175260416667,99.99999997054191,2648.3927106261904
2025-11-12,2655.8551730830777,2834.2766729889117,2637.9831624675403,2765.484130859375,2859196,ASIANPAINT.NS,2687.5167914496533,2662.9497764756948,99.99999999748351,2711.0578624592417
2025-11-13,2854.445030002044,2892.5856999728535,2835.5745783753837,2874.9130859375,5933630,ASIANPAINT.NS,2749.982222945602,2691.211551070602,99.99999999825054,2797.2805287588167
2025-11-14,2860.6356432177,2905.3656399822426,2857.5403761936336,2901.87109375,2494076,ASIANPAINT.NS,2800.611846547068,2719.299490094522,99.99999999804383,2816.2241231279086
2025-11-17,2901.871075167319,2922.339131539382,2875.5123098312783,2883.39990234375,1230683,ASIANPAINT.NS,2828.2078651459624,2741.1795450610857,93.26046677356138,2821.7352764812704
2025-11-18,2886.0,2916.0,2862.10009765625,2906.0,1819066,ASIANPAINT.NS,2854.138576763975,2763.1556057196076,93.77387526025166,2830.848456380736
2025-11-19,2914.0,2916.0,2887.199951171875,2893.699951171875,1387906,ASIANPAINT.NS,2867.3257015666086,2780.561518446577,90.04078065601465,2835.6393575496113
2025-11-20,2897.39990234375,2906.10009765625,2852.5,2859.800048828125,1062883,ASIANPAINT.NS,2864.817150653781,2791.1266558307834,81.13841804892463,2836.971948272626
2025-11-21,2869.0,2895.60009765625,2854.10009765625,2876.60009765625,857340,ASIANPAINT.NS,2868.7447996546043,2802.523114740846,82.01942957525634,2838.659879987895
2025-11-24,2876.0,2896.5,2864.5,2879.199951171875,5404326,ASIANPAINT.NS,2872.2298501603614,2812.7466929316497,82.14846748394567,2847.240814273382
2025-11-25,2899.89990234375,2908.5,2869.0,2875.800048828125,972417,ASIANPAINT.NS,2873.4199163829494,2821.1538070511797,81.38467732189963,2848.288604781271
2025-11-26,2880.0,2896.199951171875,2857.60009765625,2874.0,570376,ASIANPAINT.NS,2873.613277588633,2828.1999661110226,80.98601748910087,2848.830250714348
2025-11-27,2880.0,2914.5,2871.39990234375,2879.10009765625,1158685,ASIANPAINT.NS,2875.442217611172,2834.986650317053,81.24629764569583,2850.072489914584
2025-11-28,2880.0,2889.89990234375,2855.800048828125,2874.39990234375,748446,ASIANPAINT.NS,2875.0947791886983,2840.241750587279,80.2341021983967,2850.700726656583
2025-12-01,2877.699951171875,2887.5,2848.0,2867.60009765625,499153,ASIANPAINT.NS,2872.596552011216,2843.8895301964753,78.43234320228868,2850.9868512151947
2025-12-02,2867.0,2962.0,2861.199951171875,2954.39990234375,2102147,ASIANPAINT.NS,2899.864335455394,2858.6242464827787,76.860727399713,2857.8698328521514
2025-12-03,2969.0,2969.199951171875,2932.60009765625,2953.5,1252456,ASIANPAINT.NS,2917.742890303596,2871.274346951742,66.1615735608361,2861.5174245592384
2025-12-04,2950.0,2985.699951171875,2934.0,2957.199951171875,1466098,ASIANPAINT.NS,2930.8952439263558,2882.731094181093,62.582126625737985,2865.6069608504063
2025-12-05,2955.0,2973.5,2941.0,2968.5,944978,ASIANPAINT.NS,2943.4301626175707,2894.1669482902807,70.00475196793455,2868.3655291143305
2025-12-08,2970.0,2974.5,2914.800048828125,2928.300048828125,983544,ASIANPAINT.NS,2938.3867913544223,2898.718028361993,54.84153091199366,2869.992554082869
2025-12-09,2910.0,2913.5,2788.5,2796.0,1839391,ASIANPAINT.NS,2890.924527569615,2885.022291247061,36.05479963786575,2866.417535735862
2025-12-10,2810.0,2824.0,2796.699951171875,2804.5,845073,ASIANPAINT.NS,2862.1163517130767,2874.2859857474527,41.489672667868454,2865.0729480290547
2025-12-11,2800.0,2811.60009765625,2763.199951171875,2779.39990234375,777422,ASIANPAINT.NS,2834.5442019233014,2861.6345079602925,35.414123532920186,2863.394948835383
2025-12-12,2795.0,2797.0,2746.0,2764.800048828125,977696,ASIANPAINT.NS,2811.296150891576,2848.72324674267,33.42989579458222,2861.0247694729856
2025-12-15,2773.10009765625,2802.0,2758.699951171875,2780.199951171875,1029674,ASIANPAINT.NS,2800.930750985009,2839.586807333231,36.618116452166305,2859.02900636194
2025-12-16,2793.0,2808.0,2776.10009765625,2790.89990234375,916244,ASIANPAINT.NS,2797.5871347712564,2833.0952200013003,38.650616454068704,2857.5642371561044
2025-12-17,2800.0,2806.5,2772.0,2785.699951171875,636499,ASIANPAINT.NS,2793.6247402381296,2826.7758508240436,37.24736708416863,2856.5066949033053
2025-12-18,2780.0,2793.800048828125,2755.300048828125,2759.699951171875,417994,ASIANPAINT.NS,2782.316477216045,2817.8323975370877,35.19997832657194,2855.5801090278505
2025-12-19,2766.39990234375,2812.39990234375,2759.699951171875,2799.89990234375,3895542,ASIANPAINT.NS,2788.17761892528,2815.441398177976,41.95767527221515,2851.020054415432
2025-12-22,2785.800048828125,2823.10009765625,2780.300048828125,2807.60009765625,463953,ASIANPAINT.NS,2794.65177850227,2814.3958914417462,28.52546978168759,2850.6006343750087
2025-12-23,2798.0,2819.0,2783.10009765625,2807.800048828125,431068,ASIANPAINT.NS,2799.0345352775553,2813.5164457599303,28.642624781250333,2850.2199185591066
2025-12-24,2807.800048828125,2824.699951171875,2782.0,2785.5,512144,ASIANPAINT.NS,2794.5230235183703,2809.7809196586063,26.13289206566617,2849.54310370168
2025-12-26,2785.0,2794.39990234375,2743.0,2746.5,532078,ASIANPAINT.NS,2778.515349012247,2801.3434637041255,21.347437279035034,2848.435610514637
2025-12-29,2746.5,2793.800048828125,2735.0,2775.39990234375,815529,ASIANPAINT.NS,2777.476866789415,2797.884322189409,29.67293192816642,2847.2519547526317
2025-12-30,2770.300048828125,2792.39990234375,2741.0,2758.300048828125,4833527,ASIANPAINT.NS,2771.084594135652,2792.606419074571,42.77500947461505,2839.4565572438514
2025-12-31,2755.0,2796.800048828125,2754.89990234375,2769.5,1274705,ASIANPAINT.NS,2770.5563960904346,2789.5255631979617,43.36114342449412,2837.876277398073
2026-01-01,2775.89990234375,2782.699951171875,2746.10009765625,2752.0,327945,ASIANPAINT.NS,2764.3709307269564,2784.522154771567,44.64844636620782,2837.380081167596
2026-01-02,2755.800048828125,2799.0,2755.800048828125,2772.60009765625,508884,ASIANPAINT.NS,2767.1139863700546,2782.9325471561915,51.488560323756865,2836.80442608882
